datetime,open,high,low,close,volume
2025-06-11 06:00:00,3333.81,3336.73,3328.51,3329.79,7457
2025-06-11 07:00:00,3329.79,3335.18,3326.05,3333.06,8985
2025-06-11 08:00:00,3333.11,3360.67,3327.25,3336.63,24714
2025-06-11 09:00:00,3336.69,3344.6,3327.89,3329.82,25803
2025-06-11 10:00:00,3329.6,3341.16,3328.49,3337.47,17323
2025-06-11 11:00:00,3337.43,3342.72,3329.52,3333.11,13559
2025-06-11 12:00:00,3333.12,3334.39,3328.05,3330.16,9562
2025-06-11 13:00:00,3330.17,3331.24,3319.22,3324.21,12083
2025-06-11 14:00:00,3324.24,3347.17,3323.72,3343.77,15586
2025-06-11 15:00:00,3343.77,3349.21,3342.27,3346.72,9600
2025-06-11 16:00:00,3346.72,3355.57,3346.49,3355.5,5493
2025-06-11 18:00:00,3358.36,3369.55,3356.12,3368.96,7172
2025-06-11 19:00:00,3368.96,3373.4,3357.55,3365.39,9295
2025-06-11 20:00:00,3365.39,3371.29,3362.1,3365.71,13825
2025-06-11 21:00:00,3365.72,3376.78,3362.41,3370.91,16381
2025-06-11 22:00:00,3370.86,3377.67,3368.81,3374.62,13582
2025-06-11 23:00:00,3374.54,3376.58,3371.63,3373.32,9504
2025-06-12 00:00:00,3373.36,3373.71,3369.33,3370.41,6821
2025-06-12 01:00:00,3370.38,3375.71,3367.69,3374.38,8927
2025-06-12 02:00:00,3374.39,3375.52,3365.17,3374.92,10228
2025-06-12 03:00:00,3374.84,3375.14,3338.53,3346.12,17081
2025-06-12 04:00:00,3346.28,3361.08,3346.23,3356.68,15033
2025-06-12 05:00:00,3356.51,3367.87,3355.33,3365.33,9996
2025-06-12 06:00:00,3365.37,3385.79,3362.44,3382.51,13929
2025-06-12 07:00:00,3382.4,3388.52,3373.08,3379.18,13179
2025-06-12 08:00:00,3379.18,3390.4,3376.36,3388.11,16649
2025-06-12 09:00:00,3388.28,3398.83,3379.22,3391.94,25844
2025-06-12 10:00:00,3391.85,3393.05,3382.89,3383.78,21620
2025-06-12 11:00:00,3383.78,3390.21,3377.73,3385.69,19024
2025-06-12 12:00:00,3385.75,3391.22,3380.88,3383.59,12662
2025-06-12 13:00:00,3383.61,3384.94,3378.02,3382.56,9811
2025-06-12 14:00:00,3382.66,3386.27,3381.75,3385.86,7513
2025-06-12 15:00:00,3385.86,3389.28,3384.65,3388.13,7243
2025-06-12 16:00:00,3388.12,3389.0,3384.74,3385.72,4049
2025-06-12 18:00:00,3385.92,3386.05,3379.58,3383.35,3780
2025-06-12 19:00:00,3383.34,3396.18,3382.51,3395.74,5703
2025-06-12 20:00:00,3395.64,3419.85,3391.65,3416.81,28936
2025-06-12 21:00:00,3416.09,3433.21,3413.81,3427.57,19776
2025-06-12 22:00:00,3427.56,3444.07,3424.68,3441.28,19049
