datetime,open,high,low,close,volume
2024.06.24 16:00,2331.62000,2333.66000,2331.62000,2333.56000,1264,0
2024.06.24 18:00,2333.53000,2334.22000,2331.60000,2331.66000,789,0
2024.06.24 19:00,2331.66000,2331.86000,2330.16000,2330.82000,1698,0
2024.06.24 20:00,2330.82000,2330.92000,2328.18000,2330.01000,2825,0
2024.06.24 21:00,2330.01000,2330.86000,2323.11000,2325.79000,10913,0
2024.06.24 22:00,2325.70000,2326.95000,2324.45000,2326.45000,6261,0
2024.06.24 23:00,2326.42000,2328.45000,2323.89000,2324.03000,5262,0
2024.06.25 00:00,2324.05000,2327.69000,2322.65000,2327.36000,4147,0
2024.06.25 01:00,2327.28000,2330.01000,2324.48000,2324.88000,5838,0
2024.06.25 02:00,2324.91000,2328.05000,2323.38000,2327.13000,6182,0
2024.06.25 03:00,2327.12000,2327.62000,2323.97000,2324.73000,6202,0
